output/Daily_2015_11_17_MTX.txt
Configuration loaded successfully.
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
Transactions:
084503 prediction=-1 earning=-366
084522 prediction=1 earning=1634
084530 prediction=1 earning=-66
084609 prediction=1 earning=-66
084930 prediction=1 earning=1684
085011 prediction=1 earning=-316
085014 prediction=1 earning=1134
085015 prediction=1 earning=1234
085016 prediction=1 earning=34
085420 prediction=1 earning=1284
085529 prediction=1 earning=-116
090013 prediction=1 earning=1534
090017 prediction=1 earning=1434
090111 prediction=1 earning=1684
090111 prediction=1 earning=1684
090415 prediction=1 earning=-316
090420 prediction=1 earning=-116
090434 prediction=1 earning=584
090434 prediction=1 earning=584
090502 prediction=-1 earning=-316
090502 prediction=-1 earning=-316
090622 prediction=1 earning=-816
090659 prediction=1 earning=784
091146 prediction=1 earning=-66
091211 prediction=1 earning=1484
091227 prediction=1 earning=1334
091254 prediction=1 earning=1034
091314 prediction=1 earning=1034
091316 prediction=1 earning=884
092033 prediction=1 earning=834
092112 prediction=1 earning=784
092148 prediction=1 earning=334
092305 prediction=1 earning=1934
093611 prediction=1 earning=-66
093611 prediction=1 earning=284
094028 prediction=1 earning=-416
094120 prediction=1 earning=884
094324 prediction=1 earning=1834
094445 prediction=1 earning=-266
094445 prediction=1 earning=-266
094507 prediction=1 earning=-416
094507 prediction=1 earning=-416
095456 prediction=1 earning=-66
095456 prediction=1 earning=1134
095529 prediction=1 earning=1484
100319 prediction=1 earning=-66
100605 prediction=1 earning=1234
101151 prediction=1 earning=1234
102100 prediction=1 earning=-66
102146 prediction=1 earning=34
102535 prediction=1 earning=1584
103317 prediction=1 earning=-466
103557 prediction=1 earning=-66
103707 prediction=1 earning=1684
104009 prediction=1 earning=-16
104543 prediction=1 earning=-66
110925 prediction=1 earning=1384
110925 prediction=1 earning=1384
110925 prediction=1 earning=1384
112043 prediction=1 earning=1434
112855 prediction=1 earning=-66
114229 prediction=1 earning=-666
114229 prediction=1 earning=-216
114230 prediction=1 earning=-566
114230 prediction=1 earning=-566
114231 prediction=1 earning=-166
114231 prediction=1 earning=-316
114232 prediction=1 earning=-216
114232 prediction=1 earning=-1416
114308 prediction=1 earning=1434
114410 prediction=1 earning=434
114622 prediction=1 earning=-66
115224 prediction=1 earning=834
120547 prediction=1 earning=-366
120648 prediction=1 earning=-66
121012 prediction=1 earning=1784
121639 prediction=1 earning=-116
121645 prediction=1 earning=384
123157 prediction=1 earning=584
123324 prediction=1 earning=-66
123624 prediction=1 earning=1634
123644 prediction=1 earning=1634
123701 prediction=1 earning=1584
124829 prediction=1 earning=-66
125046 prediction=1 earning=-66
125349 prediction=1 earning=1684
130007 prediction=1 earning=1784
130015 prediction=1 earning=1684
130415 prediction=1 earning=-66
131229 prediction=1 earning=1984
131444 prediction=1 earning=1784
131529 prediction=1 earning=84
132703 prediction=1 earning=-66
133109 prediction=1 earning=1234
Profit 0 = 60956
Profit 1 = -7224
Profit 2 = -1936
Profit 3 = 0
Final profit = 51796
