# Output=[dateStart dateEnd start high low end upperBound lowerBound prediction earning]
084500 084501 8365.0 8369.0 8365.0 8369.0 0.0 0.0 0 0
084500 084503 8365.0 8369.0 8365.0 8368.0 0.0 0.0 -1 -226
084500 084505 8365.0 8369.0 8363.0 8363.0 0.0 0.0 -1 24
084500 084507 8365.0 8369.0 8363.0 8364.0 0.0 0.0 -1 -26
084500 084508 8365.0 8369.0 8363.0 8364.0 0.0 0.0 -1 -26
084500 084508 8365.0 8369.0 8363.0 8364.0 0.0 0.0 -1 -26
084500 084511 8365.0 8369.0 8363.0 8364.0 0.0 0.0 -1 -26
084500 084518 8365.0 8369.0 8363.0 8366.0 0.0 0.0 -1 -126
084500 084521 8365.0 8369.0 8363.0 8367.0 0.0 0.0 -1 -176
084500 084523 8365.0 8369.0 8363.0 8367.0 0.0 0.0 -1 -176
084500 084525 8365.0 8369.0 8363.0 8369.0 0.0 0.0 -1 -276
084500 084526 8365.0 8369.0 8363.0 8368.0 0.0 0.0 -1 -226
084500 084527 8365.0 8376.0 8363.0 8376.0 0.0 0.0 -1 -626
084500 084528 8365.0 8376.0 8363.0 8369.0 0.0 0.0 -1 -276
084500 084530 8365.0 8376.0 8363.0 8376.0 0.0 0.0 -1 -626
084500 084531 8365.0 8376.0 8363.0 8369.0 0.0 0.0 -1 -276
084500 084532 8365.0 8376.0 8363.0 8364.0 0.0 0.0 -1 -26
084500 084532 8365.0 8376.0 8363.0 8364.0 0.0 0.0 -1 -26
084500 084532 8365.0 8376.0 8363.0 8364.0 0.0 0.0 -1 -26
084500 084536 8365.0 8376.0 8363.0 8363.0 0.0 0.0 -1 24
084500 084536 8365.0 8376.0 8363.0 8363.0 8373.968111909722 8359.486433544822 -1 24
084500 084538 8365.0 8376.0 8363.0 8364.0 8373.849930700582 8359.240978390326 0 -26
084500 084543 8365.0 8377.0 8361.0 8362.0 8375.507881485968 8357.673936695852 0 74
084531 084631 8369.0 8390.0 8361.0 8374.0 8381.794036732426 8358.115054176666 0 -326
084543 084643 8362.0 8390.0 8362.0 8375.0 8385.149920144719 8362.12280712801 0 -726
084754 084837 8376.0 8388.0 8375.0 8388.0 8382.912224774018 8372.36050249871 -1 524
084754 084838 8376.0 8388.0 8375.0 8388.0 8384.939984451661 8371.332742821067 -1 -676
084754 084845 8376.0 8388.0 8374.0 8374.0 8385.006490497453 8370.993509502547 0 24
084817 084901 8376.0 8388.0 8348.0 8348.0 8393.178011250868 8356.276534203676 1 -1476
084823 084922 8375.0 8388.0 8348.0 8384.0 8393.730519199804 8356.178571709288 0 374
085129 085225 8375.0 8385.0 8366.0 8367.0 8384.084745617536 8363.642527109736 0 -476
085255 085351 8369.0 8373.0 8369.0 8373.0 8372.209956019306 8365.426407617058 -1 -276
085300 085358 8369.0 8373.0 8369.0 8372.0 8372.497271635491 8365.684546546328 0 -226
085318 085418 8370.0 8374.0 8370.0 8374.0 8373.849511922348 8366.695942623108 0 -276
085351 085446 8373.0 8383.0 8372.0 8383.0 8379.874078790826 8364.035012118266 -1 -576
085358 085458 8372.0 8389.0 8372.0 8389.0 8383.382804228158 8362.344468499114 -1 -926
085443 085529 8373.0 8389.0 8373.0 8373.0 8383.428610007806 8362.662299083102 0 -76
085542 085640 8374.0 8388.0 8374.0 8377.0 8386.02313799763 8367.15868018419 0 -226
085716 085809 8374.0 8375.0 8348.0 8375.0 8389.295581008257 8360.704418991743 0 -26
090007 090057 8375.0 8382.0 8374.0 8374.0 8383.37070097076 8375.174753574696 1 -126
090017 090111 8377.0 8382.0 8374.0 8380.0 8383.425220726573 8375.211142909791 0 74
090017 090117 8377.0 8382.0 8366.0 8366.0 8386.06888627295 8369.203840999779 1 -626
090022 090120 8379.0 8382.0 8366.0 8374.0 8385.860597414943 8368.866675312329 0 -326
090111 090158 8380.0 8387.0 8366.0 8369.0 8386.647720938481 8366.26136997061 0 474
090158 090255 8369.0 8383.0 8365.0 8366.0 8375.007286207121 8360.538168338335 0 74
090222 090319 8368.0 8383.0 8358.0 8379.0 8378.210013015809 8350.335441529647 -1 -626
090223 090323 8367.0 8383.0 8358.0 8359.0 8378.03841466371 8349.870676245382 0 324
090359 090441 8354.0 8378.0 8354.0 8360.0 8368.57056272683 8351.42943727317 0 -376
090405 090505 8354.0 8378.0 8354.0 8357.0 8371.53314902695 8350.557760063959 0 -226
090420 090516 8359.0 8378.0 8355.0 8364.0 8374.744937576492 8348.527789696236 0 -326
090509 090609 8357.0 8378.0 8357.0 8378.0 8377.828468225338 8349.898804501934 -1 -1126
090536 090632 8362.0 8378.0 8360.0 8365.0 8377.914809164206 8350.44882719943 0 -226
090536 090636 8362.0 8378.0 8360.0 8363.0 8378.29909597056 8352.337267665804 0 -126
090632 090717 8365.0 8384.0 8363.0 8384.0 8383.736266146021 8370.17282476307 -1 -1026
090632 090717 8365.0 8384.0 8363.0 8384.0 8384.525926014672 8370.474073985328 0 -1026
090655 090755 8368.0 8392.0 8368.0 8378.0 8388.354126201859 8373.373146525413 0 -576
090755 090849 8378.0 8395.0 8377.0 8377.0 8390.06888627295 8373.203840999779 0 -26
090755 090852 8378.0 8395.0 8377.0 8395.0 8393.977601151497 8370.38603521214 -1 -926
090803 090857 8378.0 8395.0 8377.0 8390.0 8394.771694170406 8370.77376037505 0 -676
090919 091010 8393.0 8401.0 8378.0 8378.0 8400.324200968138 8372.857617213682 0 674
091105 091159 8384.0 8393.0 8363.0 8363.0 8391.68786213038 8364.675774233256 1 -1126
091105 091159 8384.0 8393.0 8363.0 8363.0 8392.202718111084 8362.524554616188 1 -1126
091105 091159 8384.0 8393.0 8363.0 8363.0 8392.222490760563 8360.686600148529 1 -1126
091105 091159 8384.0 8393.0 8363.0 8363.0 8391.990705561833 8359.100203529075 0 -1126
