output/Daily_2015_11_10_MTX.txt
Configuration loaded successfully.
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
Transactions:
084506 prediction=-1 earning=484
084520 prediction=1 earning=284
084728 prediction=-1 earning=34
085022 prediction=-1 earning=184
090022 prediction=-1 earning=1134
090054 prediction=1 earning=-116
090138 prediction=-1 earning=-166
090542 prediction=-1 earning=584
090704 prediction=1 earning=-616
090717 prediction=-1 earning=1084
090719 prediction=-1 earning=1234
090736 prediction=-1 earning=1334
090736 prediction=-1 earning=1334
090818 prediction=1 earning=334
090900 prediction=1 earning=-216
090954 prediction=-1 earning=-666
090956 prediction=-1 earning=-666
091039 prediction=-1 earning=634
091155 prediction=-1 earning=934
091302 prediction=-1 earning=-166
091403 prediction=-1 earning=-316
091426 prediction=-1 earning=934
091426 prediction=-1 earning=934
091540 prediction=-1 earning=384
091659 prediction=-1 earning=884
091659 prediction=-1 earning=984
092245 prediction=-1 earning=334
092550 prediction=-1 earning=-316
092551 prediction=-1 earning=-316
092554 prediction=-1 earning=-316
092714 prediction=1 earning=-166
093028 prediction=1 earning=-316
093630 prediction=-1 earning=-166
094228 prediction=1 earning=-66
094607 prediction=1 earning=384
094607 prediction=-1 earning=184
095640 prediction=-1 earning=234
100918 prediction=-1 earning=734
101757 prediction=-1 earning=-16
104549 prediction=-1 earning=884
104610 prediction=-1 earning=684
104939 prediction=-1 earning=-516
105021 prediction=-1 earning=284
105021 prediction=-1 earning=284
110024 prediction=-1 earning=384
110024 prediction=-1 earning=384
110840 prediction=-1 earning=-66
111322 prediction=-1 earning=384
112531 prediction=1 earning=934
115356 prediction=-1 earning=534
115807 prediction=-1 earning=184
120943 prediction=-1 earning=334
120954 prediction=-1 earning=534
123224 prediction=-1 earning=34
131643 prediction=-1 earning=184
132856 prediction=-1 earning=484
133958 prediction=1 earning=-66
134015 prediction=-1 earning=684
Profit 0 = 21980
Profit 1 = -4044
Profit 2 = -414
Profit 3 = 0
Final profit = 17522
