# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Too few sequence #1
# Number of KBar units = 4280
084901 084906 8409.0 8437.0 8407.0 8436.0
084901 084906 8409.0 8437.0 8407.0 8436.0
084901 084909 8409.0 8437.0 8407.0 8436.0
084901 084910 8409.0 8437.0 8407.0 8436.0
084901 084910 8409.0 8437.0 8407.0 8436.0
084901 084922 8409.0 8437.0 8407.0 8434.0
084901 084925 8409.0 8437.0 8407.0 8408.0
084901 084925 8409.0 8437.0 8407.0 8435.0
084901 084932 8409.0 8437.0 8407.0 8435.0
084901 084942 8409.0 8437.0 8407.0 8433.0
084901 084945 8409.0 8437.0 8405.0 8405.0
084901 084945 8409.0 8437.0 8405.0 8432.0
084901 084949 8409.0 8437.0 8405.0 8433.0
084901 084956 8409.0 8437.0 8405.0 8432.0
084901 085000 8409.0 8437.0 8405.0 8431.0
084902 085002 8407.0 8437.0 8405.0 8427.0
084902 085002 8407.0 8437.0 8405.0 8427.0
084909 085009 8436.0 8436.0 8405.0 8429.0
084909 085009 8436.0 8436.0 8405.0 8432.0
084909 085009 8436.0 8436.0 8405.0 8432.0
084909 085009 8436.0 8436.0 8405.0 8432.0
084910 085010 8436.0 8436.0 8405.0 8431.0
084922 085016 8434.0 8436.0 8405.0 8436.0
084922 085016 8434.0 8436.0 8405.0 8436.0
084922 085016 8434.0 8436.0 8405.0 8436.0
084922 085016 8434.0 8436.0 8405.0 8436.0
084922 085016 8434.0 8436.0 8405.0 8436.0
084922 085016 8434.0 8437.0 8405.0 8437.0
084922 085021 8434.0 8437.0 8405.0 8434.0
084922 085021 8434.0 8437.0 8405.0 8434.0
084922 085021 8434.0 8437.0 8405.0 8434.0
084932 085026 8435.0 8437.0 8405.0 8409.0
084932 085026 8435.0 8437.0 8405.0 8435.0
085026 085124 8409.0 8435.0 8409.0 8432.0
085026 085124 8409.0 8435.0 8409.0 8432.0
085026 085125 8409.0 8435.0 8409.0 8433.0
085124 085131 8432.0 8433.0 8405.0 8405.0
085124 085136 8432.0 8433.0 8405.0 8427.0
085124 085136 8432.0 8433.0 8405.0 8432.0
085124 085136 8432.0 8433.0 8405.0 8432.0
085124 085205 8432.0 8433.0 8405.0 8428.0
085124 085214 8432.0 8434.0 8405.0 8434.0
085326 085326 8435.0 8435.0 8435.0 8435.0
085326 085328 8435.0 8435.0 8435.0 8435.0
085326 085330 8435.0 8435.0 8435.0 8435.0
085326 085331 8435.0 8435.0 8435.0 8435.0
085326 085334 8435.0 8435.0 8435.0 8435.0
085326 085338 8435.0 8435.0 8435.0 8435.0
085326 085401 8435.0 8435.0 8434.0 8434.0
085326 085403 8435.0 8436.0 8434.0 8436.0
085326 085403 8435.0 8436.0 8434.0 8436.0
085326 085404 8435.0 8436.0 8434.0 8436.0
085326 085412 8435.0 8437.0 8434.0 8437.0
085326 085420 8435.0 8437.0 8434.0 8437.0
085326 085421 8435.0 8437.0 8434.0 8437.0
085328 085428 8435.0 8439.0 8434.0 8439.0
085338 085438 8435.0 8439.0 8434.0 8435.0
085412 085512 8437.0 8439.0 8435.0 8437.0
085428 085524 8439.0 8439.0 8434.0 8434.0
085428 085524 8439.0 8439.0 8434.0 8438.0
085428 085524 8439.0 8439.0 8434.0 8438.0
085428 085524 8439.0 8439.0 8434.0 8438.0
085428 085526 8439.0 8439.0 8434.0 8439.0
085438 085537 8435.0 8439.0 8434.0 8434.0
085512 085601 8437.0 8439.0 8434.0 8438.0
085537 085636 8434.0 8438.0 8434.0 8436.0
085537 085636 8434.0 8438.0 8434.0 8436.0
085537 085637 8434.0 8438.0 8434.0 8436.0
085636 085703 8436.0 8437.0 8436.0 8437.0
085636 085735 8436.0 8437.0 8436.0 8436.0
085636 085735 8436.0 8437.0 8436.0 8436.0
085735 085835 8436.0 8439.0 8436.0 8439.0
085835 085839 8439.0 8439.0 8439.0 8439.0
