# Too few sequence #1
# Number of KBar units = 2137
084500 084502 8688.0 8688.0 8676.0 8676.0
084500 084504 8688.0 8688.0 8676.0 8676.0
084500 084512 8688.0 8688.0 8669.0 8669.0
084500 084513 8688.0 8688.0 8669.0 8670.0
084500 084514 8688.0 8688.0 8669.0 8669.0
084500 084515 8688.0 8688.0 8663.0 8663.0
084500 084519 8688.0 8688.0 8663.0 8669.0
084500 084522 8688.0 8688.0 8663.0 8671.0
084500 084523 8688.0 8688.0 8663.0 8665.0
084500 084524 8688.0 8688.0 8661.0 8661.0
084500 084528 8688.0 8688.0 8661.0 8664.0
084500 084529 8688.0 8688.0 8661.0 8661.0
084500 084531 8688.0 8688.0 8661.0 8661.0
084500 084532 8688.0 8688.0 8660.0 8660.0
084500 084533 8688.0 8688.0 8659.0 8659.0
084500 084534 8688.0 8688.0 8659.0 8661.0
084500 084535 8688.0 8688.0 8659.0 8662.0
084500 084536 8688.0 8688.0 8659.0 8662.0
084500 084537 8688.0 8688.0 8659.0 8661.0
084500 084539 8688.0 8688.0 8659.0 8662.0
084500 084540 8688.0 8688.0 8659.0 8662.0
084500 084541 8688.0 8688.0 8659.0 8662.0
084500 084542 8688.0 8688.0 8659.0 8661.0
084500 084544 8688.0 8688.0 8659.0 8662.0
084500 084546 8688.0 8688.0 8659.0 8661.0
084500 084547 8688.0 8688.0 8659.0 8661.0
084500 084549 8688.0 8688.0 8659.0 8660.0
084500 084550 8688.0 8688.0 8659.0 8659.0
084500 084551 8688.0 8688.0 8659.0 8659.0
084500 084552 8688.0 8688.0 8657.0 8657.0
084500 084557 8688.0 8688.0 8654.0 8654.0
084502 084601 8676.0 8676.0 8652.0 8652.0
084502 084602 8676.0 8676.0 8650.0 8650.0
084504 084603 8676.0 8676.0 8644.0 8644.0
084504 084604 8676.0 8676.0 8639.0 8639.0
084512 084605 8669.0 8671.0 8618.0 8618.0
084512 084607 8669.0 8671.0 8618.0 8631.0
084512 084608 8669.0 8671.0 8618.0 8631.0
084512 084609 8669.0 8671.0 8618.0 8638.0
084512 084610 8669.0 8671.0 8618.0 8648.0
084512 084611 8669.0 8671.0 8618.0 8647.0
084512 084612 8669.0 8671.0 8618.0 8639.0
084514 084614 8669.0 8671.0 8618.0 8640.0
084519 084616 8669.0 8671.0 8618.0 8638.0
084522 084620 8671.0 8671.0 8618.0 8637.0
084524 084624 8661.0 8664.0 8618.0 8641.0
084528 084626 8664.0 8664.0 8618.0 8643.0
084531 084630 8661.0 8662.0 8618.0 8642.0
084531 084631 8661.0 8662.0 8618.0 8642.0
084533 084633 8659.0 8662.0 8618.0 8643.0
084534 084634 8661.0 8662.0 8618.0 8642.0
084535 084635 8662.0 8662.0 8618.0 8641.0
084537 084637 8661.0 8662.0 8618.0 8642.0
084539 084639 8662.0 8662.0 8618.0 8642.0
084541 084641 8662.0 8662.0 8618.0 8642.0
084544 084644 8662.0 8662.0 8618.0 8641.0
084546 084645 8661.0 8661.0 8618.0 8641.0
084546 084646 8661.0 8661.0 8618.0 8638.0
084549 084648 8660.0 8660.0 8618.0 8636.0
084549 084649 8660.0 8660.0 8618.0 8624.0
084551 084651 8659.0 8659.0 8618.0 8636.0
084557 084655 8654.0 8654.0 8618.0 8632.0
084557 084656 8654.0 8654.0 8618.0 8630.0
084557 084657 8654.0 8654.0 8618.0 8626.0
084601 084658 8652.0 8652.0 8618.0 8626.0
084601 084659 8652.0 8652.0 8618.0 8623.0
084601 084700 8652.0 8652.0 8618.0 8620.0
084602 084702 8650.0 8650.0 8618.0 8624.0
084603 084703 8644.0 8648.0 8618.0 8623.0
084604 084704 8639.0 8648.0 8618.0 8623.0
084605 084705 8618.0 8648.0 8618.0 8623.0
084607 084706 8631.0 8648.0 8620.0 8623.0
084608 084708 8631.0 8648.0 8620.0 8622.0
084609 084709 8638.0 8648.0 8620.0 8622.0
084610 084710 8648.0 8648.0 8620.0 8622.0
084611 084711 8647.0 8647.0 8620.0 8621.0
084612 084712 8639.0 8643.0 8620.0 8622.0
084614 084713 8640.0 8643.0 8619.0 8619.0
084614 084714 8640.0 8643.0 8619.0 8619.0
084616 084715 8638.0 8643.0 8616.0 8616.0
084616 084716 8638.0 8643.0 8616.0 8618.0
084620 084717 8637.0 8643.0 8616.0 8617.0
084620 084718 8637.0 8643.0 8616.0 8617.0
084624 084721 8641.0 8643.0 8616.0 8617.0
084624 084722 8641.0 8643.0 8616.0 8617.0
084626 084725 8643.0 8643.0 8615.0 8615.0
084630 084728 8642.0 8643.0 8613.0 8613.0
084635 084735 8641.0 8642.0 8611.0 8611.0
084637 084736 8642.0 8642.0 8611.0 8613.0
084637 084737 8642.0 8642.0 8611.0 8611.0
084639 084738 8642.0 8642.0 8611.0 8612.0
084639 084739 8642.0 8642.0 8611.0 8611.0
084641 084740 8642.0 8642.0 8609.0 8609.0
084644 084742 8641.0 8641.0 8608.0 8608.0
084644 084743 8641.0 8641.0 8608.0 8608.0
084648 084747 8636.0 8636.0 8606.0 8606.0
084649 084749 8624.0 8636.0 8606.0 8607.0
084655 084755 8632.0 8632.0 8603.0 8603.0
084656 084756 8630.0 8630.0 8602.0 8602.0
084658 084758 8626.0 8626.0 8602.0 8603.0
084659 084759 8623.0 8624.0 8600.0 8600.0
084702 084801 8624.0 8624.0 8600.0 8602.0
084702 084802 8624.0 8624.0 8600.0 8601.0
084703 084803 8623.0 8623.0 8600.0 8604.0
084705 084805 8623.0 8623.0 8599.0 8599.0
084706 084806 8623.0 8623.0 8599.0 8601.0
084711 084811 8621.0 8622.0 8599.0 8605.0
084712 084812 8622.0 8622.0 8599.0 8601.0
084713 084813 8619.0 8619.0 8599.0 8603.0
084714 084814 8619.0 8619.0 8599.0 8602.0
084716 084816 8618.0 8618.0 8599.0 8603.0
084717 084817 8617.0 8617.0 8599.0 8603.0
