# Too few sequence #1
# Number of KBar units = 1506
085629 085718 8388.0 8388.0 8374.0 8374.0
085629 085725 8388.0 8388.0 8374.0 8375.0
085629 085728 8388.0 8388.0 8374.0 8375.0
085716 085757 8374.0 8375.0 8348.0 8348.0
085716 085809 8374.0 8375.0 8348.0 8375.0
085716 085812 8374.0 8375.0 8348.0 8375.0
085716 085816 8374.0 8375.0 8348.0 8375.0
085717 085817 8374.0 8375.0 8348.0 8375.0
085757 085838 8348.0 8375.0 8348.0 8374.0
085757 085843 8348.0 8375.0 8348.0 8375.0
085757 085854 8348.0 8375.0 8348.0 8374.0
085757 085856 8348.0 8375.0 8348.0 8374.0
085809 085904 8375.0 8375.0 8372.0 8372.0
085838 085927 8374.0 8375.0 8372.0 8373.0
085838 085930 8374.0 8375.0 8372.0 8374.0
085838 085932 8374.0 8375.0 8372.0 8373.0
085927 090007 8373.0 8375.0 8373.0 8375.0
085927 090017 8373.0 8377.0 8373.0 8377.0
085927 090022 8373.0 8379.0 8373.0 8379.0
085930 090030 8374.0 8379.0 8373.0 8375.0
090007 090044 8375.0 8379.0 8375.0 8379.0
090007 090046 8375.0 8380.0 8375.0 8380.0
090007 090047 8375.0 8380.0 8375.0 8380.0
090007 090048 8375.0 8390.0 8375.0 8390.0
090007 090049 8375.0 8390.0 8375.0 8390.0
090007 090054 8375.0 8390.0 8375.0 8390.0
090007 090055 8375.0 8390.0 8375.0 8382.0
090007 090056 8375.0 8390.0 8375.0 8381.0
090007 090057 8375.0 8390.0 8375.0 8381.0
090017 090111 8377.0 8390.0 8375.0 8380.0
090017 090116 8377.0 8390.0 8375.0 8379.0
090017 090117 8377.0 8390.0 8375.0 8377.0
090022 090120 8379.0 8390.0 8374.0 8374.0
090022 090122 8379.0 8390.0 8374.0 8374.0
090044 090141 8379.0 8390.0 8374.0 8387.0
090111 090158 8380.0 8387.0 8374.0 8385.0
090111 090201 8380.0 8387.0 8367.0 8367.0
090122 090222 8374.0 8387.0 8367.0 8368.0
090141 090223 8387.0 8387.0 8367.0 8367.0
090141 090228 8387.0 8387.0 8367.0 8368.0
090141 090233 8387.0 8387.0 8366.0 8366.0
090141 090234 8387.0 8387.0 8365.0 8365.0
090141 090235 8387.0 8387.0 8365.0 8365.0
090141 090239 8387.0 8387.0 8365.0 8366.0
090158 090244 8385.0 8385.0 8365.0 8366.0
090158 090249 8385.0 8385.0 8365.0 8366.0
090158 090253 8385.0 8385.0 8365.0 8383.0
090158 090255 8385.0 8385.0 8365.0 8366.0
090222 090304 8368.0 8383.0 8362.0 8362.0
090222 090306 8368.0 8383.0 8361.0 8361.0
090222 090307 8368.0 8383.0 8361.0 8361.0
090222 090310 8368.0 8383.0 8359.0 8359.0
090222 090318 8368.0 8383.0 8359.0 8378.0
090222 090319 8368.0 8383.0 8359.0 8379.0
090223 090323 8367.0 8383.0 8359.0 8359.0
090228 090326 8368.0 8383.0 8359.0 8359.0
090228 090327 8368.0 8383.0 8359.0 8378.0
090228 090328 8368.0 8383.0 8358.0 8358.0
090233 090329 8366.0 8383.0 8358.0 8360.0
090233 090332 8366.0 8383.0 8358.0 8358.0
090233 090333 8366.0 8383.0 8358.0 8358.0
090234 090334 8365.0 8383.0 8357.0 8357.0
090239 090336 8366.0 8383.0 8357.0 8357.0
090239 090337 8366.0 8383.0 8357.0 8357.0
090304 090359 8362.0 8379.0 8356.0 8356.0
