# Output=[dateStart dateEnd start high low end upperBound lowerBound outOfBound]
084501 084502 8727.0 8727.0 8720.0 8720.0 0.0 0.0 1
084501 084502 8727.0 8727.0 8720.0 8720.0 0.0 0.0 1
084501 084502 8727.0 8727.0 8720.0 8720.0 0.0 0.0 1
084501 084503 8727.0 8727.0 8719.0 8719.0 0.0 0.0 1
084501 084503 8727.0 8727.0 8719.0 8721.0 0.0 0.0 1
084501 084515 8727.0 8727.0 8718.0 8718.0 0.0 0.0 1
084501 084515 8727.0 8727.0 8718.0 8718.0 0.0 0.0 1
084501 084516 8727.0 8727.0 8716.0 8716.0 0.0 0.0 1
084501 084516 8727.0 8727.0 8716.0 8717.0 0.0 0.0 1
084501 084517 8727.0 8727.0 8715.0 8715.0 0.0 0.0 1
084501 084517 8727.0 8727.0 8715.0 8715.0 0.0 0.0 1
084501 084517 8727.0 8727.0 8715.0 8718.0 0.0 0.0 1
084501 084523 8727.0 8727.0 8715.0 8716.0 0.0 0.0 1
084501 084525 8727.0 8727.0 8715.0 8719.0 0.0 0.0 1
084501 084531 8727.0 8727.0 8715.0 8720.0 0.0 0.0 1
084501 084550 8727.0 8727.0 8715.0 8723.0 0.0 0.0 1
084501 084559 8727.0 8727.0 8715.0 8723.0 0.0 0.0 1
084515 084606 8718.0 8724.0 8715.0 8724.0 0.0 0.0 1
084516 084616 8716.0 8724.0 8715.0 8722.0 0.0 0.0 1
084531 084628 8720.0 8724.0 8720.0 8720.0 0.0 0.0 1
084559 084657 8723.0 8724.0 8720.0 8724.0 0.0 0.0 1
084616 084713 8722.0 8724.0 8720.0 8722.0 0.0 0.0 1
084628 084723 8720.0 8724.0 8720.0 8720.0 8724.929851961804 8714.161057129104 0
084657 084741 8724.0 8724.0 8717.0 8717.0 8724.891595012114 8713.926586806067 0
084657 084746 8724.0 8724.0 8717.0 8718.0 8724.824751898512 8713.811611737852 0
084713 084801 8722.0 8722.0 8717.0 8720.0 8724.875456869535 8713.851815857737 0
084713 084805 8722.0 8722.0 8717.0 8720.0 8724.791633899451 8713.844729736913 0
084713 084811 8722.0 8722.0 8717.0 8720.0 8724.85833075296 8713.95985106522 0
084746 084846 8718.0 8720.0 8717.0 8717.0 8724.875456869535 8713.851815857737 0
084801 084850 8720.0 8720.0 8717.0 8718.0 8724.805068716205 8714.104022192887 0
084801 084852 8720.0 8725.0 8717.0 8725.0 8725.527388533857 8714.108975102507 0
084805 084905 8720.0 8725.0 8717.0 8721.0 8725.413556788475 8714.768261393345 0
084846 084916 8717.0 8725.0 8717.0 8718.0 8725.160714018622 8715.293831435922 0
085119 085119 8721.0 8721.0 8721.0 8721.0 8725.208331852537 8715.518940874736 0
085557 085557 8716.0 8716.0 8716.0 8716.0 8725.208331852537 8715.518940874736 0
085557 085558 8716.0 8716.0 8716.0 8716.0 8725.377094195734 8715.07745125881 0
085557 085629 8716.0 8719.0 8716.0 8719.0 8725.356454353003 8715.007182010633 0
085557 085637 8716.0 8728.0 8716.0 8728.0 8726.429030229507 8714.389151588673 0
085756 085756 8720.0 8720.0 8720.0 8720.0 8726.186711260834 8714.358743284622 0
085756 085842 8720.0 8720.0 8720.0 8720.0 8725.776907553132 8714.404910628688 0
090000 090000 8717.0 8717.0 8717.0 8717.0 8725.62543704636 8714.101835680913 0
090000 090030 8717.0 8719.0 8717.0 8719.0 8725.590730133232 8714.045633503132 0
090000 090030 8717.0 8720.0 8717.0 8720.0 8725.115097881207 8714.15762939152 0
090139 090139 8715.0 8715.0 8715.0 8715.0 8725.019421352827 8713.616942283537 0
090139 090139 8715.0 8716.0 8715.0 8716.0 8724.992066514615 8713.280660758113 0
090139 090140 8715.0 8716.0 8715.0 8715.0 8725.090054621774 8713.000854469134 0
090139 090141 8715.0 8716.0 8715.0 8715.0 8725.173248427982 8712.644933390198 0
090139 090143 8715.0 8716.0 8715.0 8715.0 8725.131239963832 8712.232396399804 0
090139 090146 8715.0 8716.0 8714.0 8714.0 8725.114830402148 8711.703351416032 0
