# Output=[dateStart dateEnd start high low end upperBound lowerBound outOfBound]
084502 084503 8879.0 8879.0 8870.0 8870.0 0.0 0.0 1
084502 084503 8879.0 8879.0 8870.0 8870.0 0.0 0.0 1
084502 084503 8879.0 8879.0 8870.0 8870.0 0.0 0.0 1
084502 084503 8879.0 8879.0 8870.0 8870.0 0.0 0.0 1
084502 084503 8879.0 8879.0 8870.0 8870.0 0.0 0.0 1
084502 084505 8879.0 8879.0 8870.0 8872.0 0.0 0.0 1
084502 084506 8879.0 8879.0 8870.0 8871.0 0.0 0.0 1
084502 084506 8879.0 8879.0 8870.0 8871.0 0.0 0.0 1
084502 084511 8879.0 8879.0 8870.0 8871.0 0.0 0.0 1
084502 084512 8879.0 8879.0 8870.0 8871.0 0.0 0.0 1
084502 084513 8879.0 8879.0 8870.0 8871.0 0.0 0.0 1
084502 084514 8879.0 8879.0 8870.0 8872.0 0.0 0.0 1
084502 084517 8879.0 8879.0 8870.0 8874.0 0.0 0.0 1
084502 084518 8879.0 8879.0 8870.0 8875.0 0.0 0.0 1
084502 084523 8879.0 8879.0 8870.0 8875.0 0.0 0.0 1
084502 084524 8879.0 8879.0 8870.0 8875.0 0.0 0.0 1
084502 084524 8879.0 8879.0 8870.0 8875.0 0.0 0.0 1
084502 084540 8879.0 8879.0 8870.0 8873.0 0.0 0.0 1
084502 084542 8879.0 8879.0 8870.0 8872.0 0.0 0.0 1
084502 084544 8879.0 8879.0 8870.0 8871.0 0.0 0.0 1
084502 084545 8879.0 8879.0 8870.0 8871.0 0.0 0.0 1
084502 084556 8879.0 8879.0 8870.0 8872.0 0.0 0.0 1
084502 084559 8879.0 8879.0 8870.0 8871.0 8875.391101485717 8868.517989423375 0
084502 084600 8879.0 8879.0 8870.0 8870.0 8875.391101485717 8868.517989423375 0
084502 084600 8879.0 8879.0 8870.0 8870.0 8875.391101485717 8868.517989423375 0
084502 084600 8879.0 8879.0 8870.0 8870.0 8875.391101485717 8868.517989423375 0
084502 084602 8879.0 8879.0 8868.0 8868.0 8875.595341045777 8868.131931681495 0
084505 084604 8872.0 8875.0 8868.0 8869.0 8875.64375622337 8867.810789231175 0
084505 084604 8872.0 8875.0 8868.0 8869.0 8875.706005324655 8867.566721948073 0
084506 084606 8871.0 8875.0 8868.0 8869.0 8875.754849782832 8867.336059308076 0
084517 084615 8874.0 8875.0 8857.0 8857.0 8878.292342001543 8863.525839816637 -1
084540 084630 8873.0 8873.0 8857.0 8867.0 8878.287499231377 8863.167046223167 0
084540 084631 8873.0 8873.0 8857.0 8867.0 8878.261489154153 8862.829419936756 0
084540 084635 8873.0 8873.0 8857.0 8867.0 8878.143231655638 8862.493131980726 0
084540 084637 8873.0 8873.0 8857.0 8866.0 8877.804902081703 8862.104188827388 0
084540 084640 8873.0 8873.0 8857.0 8865.0 8877.286935445756 8861.713064554244 0
084540 084640 8873.0 8873.0 8857.0 8865.0 8876.660685043422 8861.430224047486 0
084540 084640 8873.0 8873.0 8857.0 8865.0 8875.918542738687 8861.263275443132 0
084540 084640 8873.0 8873.0 8857.0 8865.0 8875.046052605694 8861.226674667034 0
084544 084643 8871.0 8872.0 8857.0 8867.0 8874.449998431519 8861.277274295753 0
084556 084651 8872.0 8872.0 8857.0 8868.0 8874.017470939645 8861.34616542399 0
084559 084657 8871.0 8871.0 8857.0 8867.0 8873.671783299089 8861.328216700911 0
084602 084701 8868.0 8869.0 8857.0 8867.0 8873.29955787258 8861.336805763784 0
084604 084704 8869.0 8869.0 8857.0 8867.0 8872.712590848634 8861.469227333186 0
084606 084705 8869.0 8869.0 8857.0 8867.0 8872.265789040965 8861.552392777216 0
084615 084711 8857.0 8874.0 8857.0 8874.0 8873.088153637264 8861.093664544556 0
084630 084721 8867.0 8874.0 8865.0 8873.0 8873.607122203462 8860.847423251082 0
084630 084722 8867.0 8874.0 8865.0 8867.0 8873.355066609802 8860.826751572018 0
084630 084729 8867.0 8874.0 8865.0 8867.0 8873.297065907982 8860.793843182926 0
084631 084731 8867.0 8874.0 8865.0 8867.0 8873.147716847365 8860.761374061727 0
084635 084734 8867.0 8874.0 8865.0 8868.0 8873.056051456137 8860.762130362044 0
084640 084740 8865.0 8874.0 8865.0 8869.0 8873.056051456137 8860.762130362044 0
084651 084748 8868.0 8874.0 8867.0 8870.0 8872.002524544378 8862.997475455622 0
084651 084748 8868.0 8874.0 8867.0 8870.0 8872.250391832891 8863.022335439837 0
084651 084748 8868.0 8874.0 8867.0 8870.0 8872.479852169456 8863.065602376 0
084651 084749 8868.0 8874.0 8867.0 8870.0 8872.691980522895 8863.126201295285 0
084657 084754 8867.0 8874.0 8867.0 8872.0 8873.177684241467 8863.185952122169 0
084705 084805 8867.0 8874.0 8867.0 8873.0 8873.723283951234 8863.367625139674 0
084705 084805 8867.0 8874.0 8867.0 8873.0 8874.162975737017 8863.655206081163 0
084711 084809 8874.0 8874.0 8867.0 8874.0 8874.691055220286 8863.945308416078 0
084721 084814 8873.0 8874.0 8867.0 8874.0 8875.093219841227 8864.361325613318 0
084722 084822 8867.0 8875.0 8867.0 8875.0 8875.744840656535 8864.436977525285 0
084722 084822 8867.0 8875.0 8867.0 8875.0 8876.337729903882 8864.480451914298 0
084722 084822 8867.0 8875.0 8867.0 8875.0 8876.800898054582 8864.744556490874 0
084729 084826 8867.0 8877.0 8867.0 8877.0 8877.549867654323 8864.904677800221 0
084729 084828 8867.0 8877.0 8867.0 8876.0 8877.976580281515 8865.296146991213 0
084729 084828 8867.0 8877.0 8867.0 8876.0 8878.297065907982 8865.793843182926 0
084734 084834 8868.0 8877.0 8868.0 8876.0 8878.554957493856 8865.717769778872 0
084740 084835 8869.0 8877.0 8869.0 8876.0 8878.883512350072 8865.661942195384 0
084740 084835 8869.0 8877.0 8869.0 8876.0 8879.046103862976 8866.31753250066 0
084748 084844 8870.0 8877.0 8867.0 8867.0 8879.046103862976 8866.31753250066 0
084835 084935 8876.0 8881.0 8867.0 8881.0 8880.070591856258 8866.565771780106 0
084935 084956 8881.0 8881.0 8881.0 8881.0 8880.964948331612 8866.853233486569 0
084935 084956 8881.0 8881.0 8881.0 8881.0 8881.759021609674 8867.150069299418 0
084935 084957 8881.0 8882.0 8881.0 8882.0 8882.675225788802 8867.324774211198 0
084935 084957 8881.0 8882.0 8881.0 8882.0 8883.424708610915 8867.666200479993 0
084935 085007 8881.0 8884.0 8881.0 8884.0 8884.42000782488 8867.943628538756 0
084935 085016 8881.0 8885.0 8881.0 8885.0 8885.419239621586 8868.308033105686 0
084935 085018 8881.0 8885.0 8881.0 8885.0 8886.372907977042 8868.53618293205 0
084935 085024 8881.0 8885.0 8881.0 8883.0 8886.892086783299 8868.926095034882 0
