# Output=[dateStart dateEnd start high low end upperBound lowerBound outOfBound]
084500 084501 8414.0 8418.0 8414.0 8418.0 0.0 0.0 1
084500 084501 8414.0 8418.0 8414.0 8418.0 0.0 0.0 1
084500 084505 8414.0 8418.0 8414.0 8416.0 0.0 0.0 1
084500 084512 8414.0 8418.0 8413.0 8413.0 0.0 0.0 1
084500 084518 8414.0 8418.0 8413.0 8416.0 0.0 0.0 1
084500 084519 8414.0 8418.0 8413.0 8416.0 0.0 0.0 1
084500 084522 8414.0 8418.0 8413.0 8415.0 0.0 0.0 1
084500 084522 8414.0 8418.0 8413.0 8415.0 0.0 0.0 1
084500 084525 8414.0 8419.0 8413.0 8419.0 0.0 0.0 1
084500 084534 8414.0 8419.0 8413.0 8416.0 0.0 0.0 1
084500 084544 8414.0 8419.0 8412.0 8412.0 0.0 0.0 1
084500 084550 8414.0 8419.0 8411.0 8411.0 0.0 0.0 1
084500 084600 8414.0 8419.0 8409.0 8409.0 0.0 0.0 1
084512 084606 8413.0 8419.0 8408.0 8408.0 0.0 0.0 1
084512 084608 8413.0 8419.0 8407.0 8407.0 0.0 0.0 1
084518 084617 8416.0 8419.0 8404.0 8404.0 0.0 0.0 1
084534 084628 8416.0 8416.0 8403.0 8403.0 0.0 0.0 1
084534 084628 8416.0 8416.0 8403.0 8403.0 0.0 0.0 1
084544 084635 8412.0 8412.0 8403.0 8405.0 0.0 0.0 1
084544 084637 8412.0 8412.0 8403.0 8405.0 0.0 0.0 1
084544 084639 8412.0 8412.0 8403.0 8406.0 0.0 0.0 1
084635 084731 8405.0 8406.0 8399.0 8399.0 0.0 0.0 1
084637 084737 8405.0 8406.0 8397.0 8397.0 8422.148302174528 8397.215334189108 0
084637 084737 8405.0 8406.0 8397.0 8397.0 8421.70532158163 8395.749223872914 0
084639 084738 8406.0 8406.0 8397.0 8397.0 8421.31111608081 8394.416156646463 0
084731 084754 8399.0 8400.0 8397.0 8400.0 8420.906666451141 8393.638788094315 0
084731 084754 8399.0 8400.0 8397.0 8400.0 8419.944603402104 8393.146305688804 0
084731 084757 8399.0 8401.0 8397.0 8401.0 8418.787123854465 8392.940148872807 0
084731 084757 8399.0 8401.0 8397.0 8401.0 8417.657906707767 8392.796638746777 0
084731 084758 8399.0 8401.0 8397.0 8400.0 8416.388784432353 8392.702124658555 0
084731 084811 8399.0 8403.0 8397.0 8403.0 8413.847889756218 8393.788473880146 0
084731 084829 8399.0 8403.0 8397.0 8401.0 8411.691966894314 8394.580760378414 0
084731 084831 8399.0 8403.0 8397.0 8401.0 8410.300814148493 8394.971913124235 0
084757 084857 8401.0 8403.0 8400.0 8402.0 8408.967432374204 8395.48711308034 0
084757 084857 8401.0 8403.0 8400.0 8402.0 8407.96666590871 8395.85151590947 0
084829 084913 8401.0 8402.0 8401.0 8402.0 8407.081810593409 8396.19091667932 0
084857 084943 8402.0 8402.0 8399.0 8399.0 8406.288405172412 8396.257049373044 0
084943 085017 8399.0 8403.0 8399.0 8403.0 8406.160714018622 8396.293831435922 0
084943 085022 8399.0 8404.0 8399.0 8404.0 8406.288405172412 8396.257049373044 0
084943 085023 8399.0 8404.0 8399.0 8404.0 8406.413147734256 8396.223215902108 0
084943 085035 8399.0 8411.0 8399.0 8411.0 8407.934383645244 8395.247434536575 1
085017 085046 8403.0 8411.0 8403.0 8408.0 8408.47417284192 8394.980372612625 0
085017 085100 8403.0 8411.0 8403.0 8406.0 8408.47417284192 8394.980372612625 0
085017 085102 8403.0 8411.0 8403.0 8406.0 8408.907133977495 8395.183775113414 0
085022 085122 8404.0 8411.0 8404.0 8407.0 8409.289028582272 8395.710971417728 0
085035 085124 8411.0 8411.0 8406.0 8407.0 8409.545924748118 8396.363166160974 0
085035 085125 8411.0 8411.0 8406.0 8407.0 8409.665987930024 8397.152193888156 0
085035 085126 8411.0 8411.0 8406.0 8407.0 8409.970285350322 8397.484260104222 0
085035 085134 8411.0 8411.0 8406.0 8410.0 8410.72222027222 8397.641416091416 0
085046 085142 8408.0 8410.0 8404.0 8404.0 8410.710972178818 8397.925391457546 0
085100 085149 8406.0 8410.0 8403.0 8403.0 8410.665987930024 8398.152193888156 0
085102 085201 8406.0 8410.0 8401.0 8401.0 8410.596125728747 8398.312965180345 0
085122 085203 8407.0 8410.0 8399.0 8399.0 8410.800481116734 8397.744973428722 0
085122 085204 8407.0 8410.0 8399.0 8399.0 8410.94095647107 8397.422679892567 0
085122 085205 8407.0 8410.0 8399.0 8400.0 8410.993223626594 8397.279503646134 0
085122 085220 8407.0 8410.0 8397.0 8397.0 8411.341430340352 8396.476751477829 0
085124 085224 8407.0 8410.0 8397.0 8400.0 8411.38933193224 8396.247031704124 0
085126 085226 8407.0 8410.0 8396.0 8396.0 8411.76355591272 8395.327353178189 0
085126 085226 8407.0 8410.0 8396.0 8396.0 8412.014778054208 8394.803403763972 0
085134 085234 8410.0 8410.0 8396.0 8396.0 8412.23439342595 8393.94742475587 0
085142 085237 8404.0 8404.0 8396.0 8404.0 8412.23439342595 8393.94742475587 0
085149 085247 8403.0 8404.0 8396.0 8401.0 8412.12916009054 8393.779930818551 0
085149 085248 8403.0 8404.0 8396.0 8398.0 8411.051045320291 8393.67622740698 0
085149 085248 8403.0 8404.0 8396.0 8398.0 8410.413829500745 8393.404352317435 0
085149 085248 8403.0 8404.0 8396.0 8398.0 8410.0034206179 8393.087488473007 0
085201 085253 8401.0 8404.0 8396.0 8398.0 8409.529629296909 8392.834007066727 0
085201 085301 8401.0 8404.0 8396.0 8398.0 8408.816512410263 8392.728942135192 0
085203 085303 8399.0 8404.0 8396.0 8402.0 8408.1427572421 8392.948151848808 0
085220 085309 8397.0 8404.0 8396.0 8402.0 8407.4120040636 8393.224359572763 0
085220 085311 8397.0 8404.0 8396.0 8400.0 8406.466697906828 8393.533302093172 0
085234 085332 8396.0 8404.0 8396.0 8400.0 8404.321427467841 8394.769481623067 0
085303 085402 8402.0 8402.0 8393.0 8393.0 8404.143663597384 8393.947245493524 0
085309 085408 8402.0 8402.0 8393.0 8394.0 8403.84284402301 8393.429883249719 0
085332 085412 8400.0 8400.0 8393.0 8393.0 8403.870837933942 8392.674616611514 0
085332 085413 8400.0 8400.0 8393.0 8393.0 8404.0 8392.0 0
085332 085423 8400.0 8400.0 8391.0 8391.0 8404.284547381376 8390.988179891352 0
085332 085430 8400.0 8400.0 8391.0 8394.0 8404.093365644843 8390.633907082429 0
085332 085430 8400.0 8400.0 8391.0 8394.0 8404.10098598026 8390.353559474284 0
085332 085430 8400.0 8400.0 8391.0 8394.0 8403.842671541643 8390.06641936745 0
085332 085430 8400.0 8400.0 8391.0 8394.0 8403.851820014901 8389.875452712371 0
085332 085430 8400.0 8400.0 8391.0 8394.0 8403.854889710386 8389.69056483507 0
085332 085430 8400.0 8400.0 8391.0 8394.0 8403.852119649713 8389.511516713923 0
085332 085430 8400.0 8400.0 8391.0 8394.0 8402.720116849334 8389.73442860521 0
085332 085430 8400.0 8400.0 8391.0 8394.0 8402.114926605773 8389.703255212407 0
085402 085433 8393.0 8394.0 8391.0 8394.0 8401.911764127888 8389.542781326656 0
085402 085433 8393.0 8394.0 8391.0 8394.0 8401.687034819655 8389.403874271253 0
085402 085434 8393.0 8394.0 8391.0 8394.0 8401.440281806206 8389.286990921066 0
085402 085434 8393.0 8394.0 8391.0 8394.0 8401.170788760728 8389.192847602908 0
085402 085434 8393.0 8394.0 8391.0 8394.0 8400.877538136452 8389.122461863548 0
085402 085438 8393.0 8396.0 8391.0 8396.0 8399.779070541617 8389.675474912927 0
085402 085438 8393.0 8396.0 8391.0 8396.0 8398.442129490812 8390.46696141828 0
085402 085443 8393.0 8396.0 8391.0 8395.0 8397.414281480536 8391.040263974008 0
085402 085444 8393.0 8396.0 8391.0 8396.0 8396.175522638883 8391.915386452025 0
085402 085446 8393.0 8396.0 8391.0 8395.0 8396.250855154476 8392.021872118252 0
085402 085446 8393.0 8396.0 8391.0 8395.0 8396.325422931373 8392.038213432263 0
085402 085446 8393.0 8396.0 8391.0 8395.0 8396.377424891418 8392.168029654038 0
085402 085447 8393.0 8396.0 8391.0 8396.0 8396.554622494765 8392.263559323415 0
085402 085501 8393.0 8396.0 8391.0 8393.0 8396.178744119328 8392.821255880672 0
085402 085501 8393.0 8396.0 8391.0 8393.0 8396.235992540207 8392.673098368885 0
085402 085501 8393.0 8396.0 8391.0 8393.0 8396.283229829825 8392.534951988355 0
085402 085501 8393.0 8396.0 8391.0 8393.0 8396.321878111685 8392.405394615587 0
085423 085517 8391.0 8397.0 8391.0 8397.0 8396.7360679775 8392.2639320225 0
085501 085553 8393.0 8398.0 8393.0 8398.0 8397.336923975728 8392.026712387908 0
085501 085553 8393.0 8398.0 8393.0 8398.0 8397.835960495322 8391.89131223195 0
085501 085600 8393.0 8399.0 8393.0 8399.0 8398.497271635491 8391.684546546328 0
085600 085700 8399.0 8399.0 8395.0 8395.0 8398.509813693687 8391.762913579041 0
085700 085712 8395.0 8395.0 8395.0 8395.0 8398.519556318306 8391.84408004533 0
085700 085726 8395.0 8395.0 8393.0 8393.0 8398.56328669545 8391.709440577279 0
085700 085732 8395.0 8395.0 8390.0 8390.0 8398.976181156473 8390.932909752619 0
085700 085736 8395.0 8395.0 8390.0 8390.0 8399.282587910842 8390.262866634614 0
085700 085746 8395.0 8397.0 8390.0 8397.0 8399.49797435059 8390.32020746759 0
085700 085746 8395.0 8397.0 8390.0 8397.0 8399.605147477247 8390.303943431845 0
085700 085748 8395.0 8397.0 8390.0 8396.0 8399.605147477247 8390.303943431845 0
085700 085751 8395.0 8397.0 8390.0 8395.0 8399.605147477247 8390.303943431845 0
085700 085751 8395.0 8397.0 8390.0 8395.0 8399.53742620413 8390.28075561405 0
085712 085803 8395.0 8397.0 8390.0 8393.0 8399.513880570961 8390.122483065403 0
085726 085814 8393.0 8397.0 8390.0 8392.0 8399.520539411698 8389.843096951938 0
085726 085825 8393.0 8397.0 8390.0 8394.0 8399.481059125264 8389.791668147463 0
085814 085914 8392.0 8394.0 8392.0 8394.0 8399.359346289044 8389.731562801864 0
085825 085920 8394.0 8396.0 8394.0 8396.0 8399.482816700549 8389.880819663087 0
085825 085920 8394.0 8396.0 8394.0 8396.0 8399.590692635784 8390.04567100058 0
085914 085944 8394.0 8398.0 8394.0 8398.0 8399.924995236479 8390.16591385443 0
085914 085946 8394.0 8398.0 8394.0 8398.0 8400.215373534207 8390.330081011249 0
085914 085949 8394.0 8398.0 8394.0 8398.0 8400.341269012197 8390.295094624167 0
085914 090004 8394.0 8398.0 8394.0 8398.0 8400.341269012197 8390.295094624167 0
085920 090020 8396.0 8401.0 8396.0 8401.0 8400.906059763842 8390.00303114525 0
085920 090020 8396.0 8401.0 8396.0 8401.0 8401.289297817793 8389.801611273115 0
085920 090020 8396.0 8401.0 8396.0 8401.0 8401.986616528613 8389.649747107751 0
085944 090021 8398.0 8404.0 8398.0 8404.0 8403.257902291267 8389.196643163277 0
085944 090021 8398.0 8404.0 8398.0 8404.0 8404.311510405314 8389.14303504923 0
085944 090022 8398.0 8404.0 8398.0 8404.0 8404.932603016909 8389.794669710363 0
085944 090022 8398.0 8404.0 8398.0 8404.0 8405.33608763703 8390.66391236297 0
085944 090023 8398.0 8404.0 8398.0 8404.0 8406.049731436735 8390.58663219963 0
