# Output=[dateStart dateEnd start high low end upperBound lowerBound outOfBound]
084500 084508 8681.0 8682.0 8681.0 8682.0 0.0 0.0 1
084500 084510 8681.0 8682.0 8681.0 8682.0 0.0 0.0 1
084500 084511 8681.0 8683.0 8681.0 8683.0 0.0 0.0 1
084500 084526 8681.0 8683.0 8681.0 8682.0 0.0 0.0 1
084500 084530 8681.0 8683.0 8678.0 8678.0 0.0 0.0 1
084500 084531 8681.0 8683.0 8677.0 8677.0 0.0 0.0 1
084500 084531 8681.0 8683.0 8677.0 8677.0 0.0 0.0 1
084500 084531 8681.0 8683.0 8677.0 8677.0 0.0 0.0 1
084500 084539 8681.0 8683.0 8677.0 8680.0 0.0 0.0 1
084500 084542 8681.0 8683.0 8677.0 8678.0 0.0 0.0 1
084500 084549 8681.0 8683.0 8677.0 8677.0 0.0 0.0 1
084500 084552 8681.0 8683.0 8677.0 8680.0 0.0 0.0 1
084500 084552 8681.0 8683.0 8677.0 8680.0 0.0 0.0 1
084508 084605 8682.0 8683.0 8677.0 8678.0 0.0 0.0 1
084510 084609 8682.0 8683.0 8665.0 8665.0 0.0 0.0 1
084510 084609 8682.0 8683.0 8665.0 8665.0 0.0 0.0 1
084510 084609 8682.0 8683.0 8665.0 8665.0 0.0 0.0 1
084526 084612 8682.0 8682.0 8665.0 8679.0 0.0 0.0 1
084526 084612 8682.0 8682.0 8665.0 8679.0 0.0 0.0 1
084526 084621 8682.0 8682.0 8665.0 8678.0 0.0 0.0 1
084530 084627 8678.0 8680.0 8665.0 8679.0 0.0 0.0 1
084539 084637 8680.0 8680.0 8665.0 8679.0 0.0 0.0 1
084542 084640 8678.0 8680.0 8665.0 8678.0 8687.233691404352 8666.948126777468 0
084552 084650 8680.0 8680.0 8665.0 8679.0 8686.908572008062 8667.00051890103 0
084605 084700 8678.0 8679.0 8665.0 8673.0 8686.218772836863 8666.781227163137 0
084605 084702 8678.0 8679.0 8665.0 8673.0 8685.604709419602 8666.577108762218 0
084621 084718 8678.0 8679.0 8673.0 8676.0 8685.477245476308 8666.522754523692 0
084627 084722 8679.0 8679.0 8673.0 8676.0 8685.42175724966 8666.487333659432 0
084829 084829 8675.0 8675.0 8675.0 8675.0 8685.327355689096 8666.399917038176 0
084829 084905 8675.0 8675.0 8674.0 8674.0 8685.208005690532 8666.246539764012 0
084829 084905 8675.0 8675.0 8674.0 8674.0 8684.771729436596 8666.137361472496 0
084829 084908 8675.0 8675.0 8674.0 8675.0 8684.569940641364 8666.066422995 0
084829 084908 8675.0 8675.0 8674.0 8675.0 8684.450402114984 8666.00414333956 0
084829 084908 8675.0 8675.0 8674.0 8675.0 8683.98483570953 8666.01516429047 0
084829 084908 8675.0 8675.0 8674.0 8675.0 8683.489103045466 8666.05635149999 0
084829 084908 8675.0 8675.0 8674.0 8675.0 8683.239649574052 8666.033077698676 0
084829 084929 8675.0 8680.0 8674.0 8680.0 8683.096622036594 8667.53974159977 0
084905 084930 8674.0 8685.0 8674.0 8685.0 8683.635666447955 8668.818879006589 0
084905 084946 8674.0 8685.0 8674.0 8675.0 8682.286568233381 8671.077068130255 0
084905 084950 8674.0 8685.0 8674.0 8674.0 8682.070343713267 8670.838747195825 0
084929 085016 8680.0 8685.0 8674.0 8674.0 8681.817257868961 8670.637287585583 0
084946 085036 8675.0 8675.0 8673.0 8673.0 8681.688904671695 8670.311095328305 0
084946 085044 8675.0 8675.0 8671.0 8671.0 8681.530750937254 8669.741976335474 0
085036 085132 8673.0 8673.0 8671.0 8672.0 8681.207659758817 8669.428703877547 0
085410 085410 8670.0 8670.0 8670.0 8670.0 8681.118289084612 8668.79080182448 0
085410 085411 8670.0 8670.0 8669.0 8669.0 8680.87466576664 8668.12533423336 0
085605 085605 8681.0 8681.0 8681.0 8681.0 8681.746961525885 8667.980311201387 0
085605 085613 8681.0 8681.0 8680.0 8680.0 8682.33307652338 8668.030559840256 0
085605 085642 8681.0 8681.0 8671.0 8671.0 8682.302452335909 8667.606638573183 0
085613 085710 8680.0 8680.0 8671.0 8671.0 8682.239246640042 8667.215298814503 0
085838 085838 8674.0 8674.0 8674.0 8674.0 8682.198741237924 8667.164895125712 0
085838 085901 8674.0 8675.0 8674.0 8675.0 8682.239246640042 8667.215298814503 0
085838 085905 8674.0 8680.0 8674.0 8680.0 8682.816067367346 8667.183932632654 0
090015 090015 8669.0 8669.0 8669.0 8669.0 8682.93329752465 8666.521247929893 0
090015 090016 8669.0 8669.0 8669.0 8669.0 8682.99806554507 8665.911025364021 0
090015 090016 8669.0 8669.0 8669.0 8669.0 8683.01638590055 8665.347250463086 0
090015 090016 8669.0 8669.0 8669.0 8669.0 8682.992724361306 8664.825457456875 0
090015 090018 8669.0 8669.0 8667.0 8667.0 8683.055779513179 8664.03512957773 0
090015 090019 8669.0 8669.0 8666.0 8666.0 8682.480052500547 8663.338129317634 0
090015 090019 8669.0 8669.0 8666.0 8666.0 8680.454913996837 8663.635995094071 0
090015 090038 8669.0 8672.0 8666.0 8672.0 8680.219196277836 8663.598985540344 0
090015 090042 8669.0 8675.0 8666.0 8675.0 8680.320651809188 8663.588439099904 0
090015 090042 8669.0 8675.0 8666.0 8675.0 8680.420753583207 8663.579246416793 0
090015 090100 8669.0 8675.0 8666.0 8670.0 8680.312314679755 8663.414958047517 0
090015 090101 8669.0 8675.0 8666.0 8669.0 8680.299302161793 8663.246152383663 0
090219 090219 8674.0 8674.0 8674.0 8674.0 8680.440464651008 8663.286808076264 0
090219 090220 8674.0 8675.0 8674.0 8675.0 8680.72296543307 8663.45885274875 0
090219 090220 8674.0 8675.0 8674.0 8675.0 8680.966922301324 8663.760350425948 0
090219 090220 8674.0 8675.0 8674.0 8675.0 8679.928095295365 8664.253722886455 0
090219 090220 8674.0 8675.0 8674.0 8675.0 8679.0316322683 8664.695640458973 0
090219 090221 8674.0 8677.0 8674.0 8677.0 8679.602540814338 8664.67018645839 0
090325 090325 8683.0 8683.0 8683.0 8683.0 8681.38680867602 8663.976827687617 0
090325 090335 8683.0 8683.0 8675.0 8675.0 8681.469683840123 8663.98486161442 0
090325 090344 8683.0 8683.0 8673.0 8673.0 8681.32377259302 8663.948954679709 0
090325 090404 8683.0 8685.0 8673.0 8685.0 8682.517565465687 8663.209707261585 0
090325 090410 8683.0 8685.0 8673.0 8675.0 8682.676621962302 8663.596105310426 0
090325 090410 8683.0 8685.0 8673.0 8675.0 8682.802688165812 8664.015493652369 0
090344 090442 8673.0 8685.0 8673.0 8676.0 8682.975010891658 8664.479534562886 0
090442 090521 8676.0 8682.0 8676.0 8682.0 8683.9360886711 8664.700274965264 0
090442 090529 8676.0 8682.0 8676.0 8680.0 8684.249308755665 8665.568873062515 0
090442 090530 8676.0 8682.0 8676.0 8680.0 8684.257562582336 8666.833346508573 0
090442 090531 8676.0 8682.0 8676.0 8680.0 8684.012674715403 8668.350961648233 0
090442 090531 8676.0 8682.0 8676.0 8680.0 8684.308473469166 8668.782435621742 0
090442 090531 8676.0 8682.0 8676.0 8680.0 8684.633604350367 8668.911850195089 0
090442 090532 8676.0 8682.0 8671.0 8671.0 8684.785343807873 8668.396474373947 0
090521 090544 8682.0 8682.0 8671.0 8671.0 8684.69400720224 8668.578720070487 0
090521 090549 8682.0 8682.0 8671.0 8673.0 8684.341149405665 8669.295214230699 0
090706 090706 8669.0 8669.0 8669.0 8669.0 8684.718507213336 8668.463310968484 0
090706 090717 8669.0 8670.0 8669.0 8670.0 8684.924550812359 8667.802721914913 0
090706 090718 8669.0 8672.0 8669.0 8672.0 8684.96448297856 8667.490062475985 0
090706 090718 8669.0 8672.0 8669.0 8672.0 8684.992575756287 8667.189242425533 0
090706 090732 8669.0 8672.0 8669.0 8672.0 8685.009474252565 8666.899616656527 0
090706 090741 8669.0 8679.0 8669.0 8679.0 8685.18034814044 8666.910560950468 0
090706 090745 8669.0 8679.0 8669.0 8679.0 8684.587594067369 8667.139678659903 0
090706 090745 8669.0 8679.0 8669.0 8679.0 8684.8561355165 8667.234773574408 0
090706 090746 8669.0 8679.0 8669.0 8679.0 8685.106321835197 8667.530041801167 0
090741 090833 8679.0 8679.0 8673.0 8673.0 8683.793877001739 8667.751577543717 0
090741 090834 8679.0 8679.0 8673.0 8673.0 8683.780894754016 8667.58274160962 0
090741 090835 8679.0 8679.0 8673.0 8673.0 8683.763125679263 8667.418692502557 0
090741 090836 8679.0 8679.0 8673.0 8673.0 8683.694741231728 8667.214349677364 0
090833 090916 8673.0 8677.0 8673.0 8677.0 8682.995080846375 8667.45946460817 0
090833 090916 8673.0 8677.0 8673.0 8677.0 8682.620465178492 8667.561353003328 0
090833 090927 8673.0 8677.0 8668.0 8668.0 8682.308473469166 8666.782435621742 0
090833 090928 8673.0 8677.0 8668.0 8668.0 8681.839294959022 8666.160705040978 0
090833 090929 8673.0 8677.0 8667.0 8667.0 8681.309817939136 8665.508363879044 0
090833 090930 8673.0 8677.0 8666.0 8666.0 8680.702689285288 8664.842765260168 0
090833 090930 8673.0 8677.0 8666.0 8666.0 8680.938682827333 8664.152226263575 0
090833 090930 8673.0 8677.0 8666.0 8666.0 8681.12698657946 8663.509377056904 0
090833 090930 8673.0 8677.0 8666.0 8666.0 8681.184967956593 8662.815032043407 0
090833 090930 8673.0 8677.0 8666.0 8666.0 8681.30812402086 8662.419148706413 0
090833 090930 8673.0 8677.0 8666.0 8666.0 8681.412488786314 8661.951147577322 0
