# Output=[dateStart dateEnd start high low end upperBound lowerBound outOfBound]
084500 084500 8690.0 8691.0 8690.0 8691.0 0.0 0.0 1
084500 084500 8690.0 8691.0 8690.0 8691.0 0.0 0.0 1
084500 084500 8690.0 8692.0 8690.0 8692.0 0.0 0.0 1
084500 084500 8690.0 8692.0 8690.0 8692.0 0.0 0.0 1
084500 084500 8690.0 8692.0 8690.0 8692.0 0.0 0.0 1
084500 084500 8690.0 8692.0 8690.0 8692.0 0.0 0.0 1
084500 084500 8690.0 8693.0 8690.0 8693.0 0.0 0.0 1
084500 084500 8690.0 8693.0 8690.0 8693.0 0.0 0.0 1
084500 084500 8690.0 8693.0 8690.0 8693.0 0.0 0.0 1
084500 084500 8690.0 8693.0 8690.0 8693.0 0.0 0.0 1
084500 084500 8690.0 8693.0 8690.0 8693.0 0.0 0.0 1
084500 084500 8690.0 8694.0 8690.0 8694.0 0.0 0.0 1
084500 084500 8690.0 8695.0 8690.0 8695.0 0.0 0.0 1
084500 084500 8690.0 8695.0 8690.0 8695.0 0.0 0.0 1
084500 084500 8690.0 8695.0 8690.0 8695.0 0.0 0.0 1
084500 084501 8690.0 8695.0 8690.0 8691.0 0.0 0.0 1
084500 084501 8690.0 8695.0 8690.0 8691.0 0.0 0.0 1
084500 084501 8690.0 8695.0 8690.0 8691.0 0.0 0.0 1
084500 084501 8690.0 8695.0 8690.0 8691.0 0.0 0.0 1
084500 084501 8690.0 8695.0 8690.0 8691.0 0.0 0.0 1
084500 084501 8690.0 8695.0 8690.0 8691.0 0.0 0.0 1
084500 084501 8690.0 8695.0 8690.0 8693.0 0.0 0.0 1
084500 084501 8690.0 8695.0 8690.0 8693.0 8695.179891449634 8689.820108550366 0
084500 084501 8690.0 8695.0 8690.0 8693.0 8695.195736142163 8689.986082039657 0
084500 084501 8690.0 8698.0 8690.0 8698.0 8696.290559422721 8689.43671330455 0
084500 084502 8690.0 8698.0 8690.0 8691.0 8696.31552437485 8689.320839261514 0
084500 084502 8690.0 8698.0 8690.0 8691.0 8696.336781051621 8689.208673493835 0
084500 084502 8690.0 8698.0 8690.0 8691.0 8696.35453406241 8689.100011392135 0
084500 084502 8690.0 8698.0 8690.0 8692.0 8696.319318004316 8689.04431835932 0
084500 084503 8690.0 8698.0 8690.0 8690.0 8696.346280901884 8688.744628189024 0
084500 084503 8690.0 8698.0 8690.0 8691.0 8696.302910997912 8688.60617991118 0
084500 084503 8690.0 8698.0 8690.0 8693.0 8696.302910997912 8688.60617991118 0
084500 084503 8690.0 8698.0 8690.0 8693.0 8696.302910997912 8688.60617991118 0
084500 084504 8690.0 8698.0 8690.0 8693.0 8696.206654286218 8688.611527531963 0
084500 084505 8690.0 8698.0 8690.0 8694.0 8696.058618442345 8688.668654284927 0
084500 084505 8690.0 8698.0 8690.0 8694.0 8695.905349028537 8688.731014607827 0
084500 084505 8690.0 8698.0 8690.0 8695.0 8695.905349028537 8688.731014607827 0
084500 084505 8690.0 8698.0 8690.0 8695.0 8696.20503343133 8688.79496656867 0
084500 084506 8690.0 8698.0 8690.0 8693.0 8696.242015568732 8688.939802613088 0
084500 084506 8690.0 8698.0 8690.0 8693.0 8696.268985392173 8689.094650971463 0
084500 084506 8690.0 8698.0 8690.0 8693.0 8696.285396197522 8689.260058347934 0
084500 084506 8690.0 8698.0 8690.0 8693.0 8696.290559422721 8689.43671330455 0
084500 084506 8690.0 8698.0 8690.0 8693.0 8696.283606077019 8689.625484832073 0
084500 084506 8690.0 8698.0 8690.0 8693.0 8696.283606077019 8689.625484832073 0
084500 084506 8690.0 8698.0 8690.0 8693.0 8696.283606077019 8689.625484832073 0
084500 084506 8690.0 8698.0 8690.0 8693.0 8696.283606077019 8689.625484832073 0
084500 084506 8690.0 8698.0 8690.0 8693.0 8695.226859469974 8690.22768598457 0
084500 084506 8690.0 8698.0 8690.0 8693.0 8695.202704917929 8690.433658718435 0
084500 084506 8690.0 8698.0 8690.0 8693.0 8695.158057613973 8690.660124204207 0
084500 084506 8690.0 8698.0 8690.0 8693.0 8695.088931871469 8690.911068128531 0
084500 084506 8690.0 8698.0 8690.0 8694.0 8695.171913298593 8691.009904883227 0
084500 084506 8690.0 8698.0 8690.0 8694.0 8694.88876262133 8691.656691924125 0
084500 084506 8690.0 8698.0 8690.0 8694.0 8694.710711005751 8692.107470812429 0
084500 084506 8690.0 8698.0 8690.0 8694.0 8694.76565500926 8692.143435899832 0
084500 084506 8690.0 8698.0 8690.0 8694.0 8694.814257481346 8692.185742518654 0
084500 084506 8690.0 8698.0 8690.0 8694.0 8694.856564100168 8692.23434499074 0
084500 084506 8690.0 8698.0 8690.0 8694.0 8694.856564100168 8692.23434499074 0
084500 084506 8690.0 8698.0 8690.0 8694.0 8694.856564100168 8692.23434499074 0
084500 084506 8690.0 8698.0 8690.0 8695.0 8694.856564100168 8692.23434499074 0
084500 084506 8690.0 8698.0 8690.0 8695.0 8694.856564100168 8692.23434499074 0
084500 084506 8690.0 8698.0 8690.0 8695.0 8695.056409031984 8692.216318240744 0
084500 084506 8690.0 8698.0 8690.0 8695.0 8695.22658386386 8692.227961590685 0
084500 084506 8690.0 8698.0 8690.0 8695.0 8695.371637044604 8692.26472659176 0
084500 084506 8690.0 8698.0 8690.0 8695.0 8695.494145070377 8692.324036747803 0
084500 084506 8690.0 8698.0 8690.0 8695.0 8695.595448070435 8692.404551929565 0
084500 084506 8690.0 8698.0 8690.0 8695.0 8695.675963252197 8692.505854929623 0
084500 084506 8690.0 8698.0 8690.0 8695.0 8695.73527340824 8692.628362955396 0
084500 084506 8690.0 8698.0 8690.0 8695.0 8695.772038409315 8692.77341613614 0
084500 084506 8690.0 8698.0 8690.0 8695.0 8695.783681759256 8692.943590968016 0
084500 084506 8690.0 8698.0 8690.0 8695.0 8695.76565500926 8693.143435899832 0
084500 084506 8690.0 8698.0 8690.0 8696.0 8695.892529187571 8693.289288994249 0
084500 084506 8690.0 8698.0 8690.0 8696.0 8695.960423633294 8693.49412182125 0
084500 084506 8690.0 8698.0 8690.0 8696.0 8696.116623350645 8693.51974028572 0
084500 084506 8690.0 8698.0 8690.0 8696.0 8696.245176223336 8693.573005594844 0
084500 084506 8690.0 8698.0 8690.0 8696.0 8696.348399724926 8693.651600275074 0
084500 084506 8690.0 8698.0 8690.0 8696.0 8696.426994405156 8693.754823776664 0
084500 084506 8690.0 8698.0 8690.0 8696.0 8696.48025971428 8693.883376649355 0
084500 084506 8690.0 8698.0 8690.0 8696.0 8696.50587817875 8694.039576366706 0
084500 084506 8690.0 8698.0 8690.0 8696.0 8696.499090545163 8694.228182182109 0
084500 084506 8690.0 8698.0 8690.0 8696.0 8696.45040465001 8694.458686259082 0
084500 084506 8690.0 8698.0 8690.0 8696.0 8696.5 8694.5 0
084500 084506 8690.0 8698.0 8690.0 8696.0 8696.541313740918 8694.54959534999 0
084500 084506 8690.0 8698.0 8690.0 8696.0 8696.574241256945 8694.607576924875 0
084500 084506 8690.0 8698.0 8690.0 8696.0 8696.598455022206 8694.674272250522 0
084500 084506 8690.0 8698.0 8690.0 8696.0 8696.613359160541 8694.750277203095 0
084500 084506 8690.0 8698.0 8690.0 8697.0 8696.805256062873 8694.740198482583 0
084500 084506 8690.0 8698.0 8690.0 8697.0 8696.95832677989 8694.768945947382 0
084500 084506 8690.0 8698.0 8690.0 8697.0 8697.079028806987 8694.830062102104 0
084500 084506 8690.0 8698.0 8690.0 8697.0 8697.169937897896 8694.920971193013 0
084500 084506 8690.0 8698.0 8690.0 8697.0 8697.231054052618 8695.04167322011 0
084500 084506 8690.0 8698.0 8690.0 8697.0 8697.259801517417 8695.194743937127 0
084500 084506 8690.0 8698.0 8690.0 8697.0 8697.249722796905 8695.386640839459 0
084500 084506 8690.0 8698.0 8690.0 8697.0 8697.325727749478 8695.401544977794 0
084500 084506 8690.0 8698.0 8690.0 8697.0 8697.392423075125 8695.425758743055 0
084500 084506 8690.0 8698.0 8690.0 8697.0 8697.45040465001 8695.458686259082 0
084500 084506 8690.0 8698.0 8690.0 8697.0 8697.5 8695.5 0
084500 084506 8690.0 8698.0 8690.0 8697.0 8697.541313740918 8695.54959534999 0
084500 084506 8690.0 8698.0 8690.0 8697.0 8697.574241256945 8695.607576924875 0
084500 084506 8690.0 8698.0 8690.0 8697.0 8697.598455022206 8695.674272250522 0
084500 084506 8690.0 8698.0 8690.0 8697.0 8697.613359160541 8695.750277203095 0
084500 084506 8690.0 8698.0 8690.0 8697.0 8697.617996270103 8695.836549184442 0
084500 084506 8690.0 8698.0 8690.0 8697.0 8697.610867677937 8695.93458686752 0
084500 084506 8690.0 8698.0 8690.0 8697.0 8697.589571034021 8696.046792602343 0
084500 084506 8690.0 8698.0 8690.0 8697.0 8697.54998494866 8696.177287778612 0
084500 084506 8690.0 8698.0 8690.0 8697.0 8697.484050483667 8696.334131334514 0
084500 084506 8690.0 8698.0 8690.0 8697.0 8697.371143244996 8696.537947664096 0
084500 084506 8690.0 8698.0 8690.0 8697.0 8697.0 8697.0 0
084500 084506 8690.0 8698.0 8690.0 8697.0 8697.0 8697.0 0
084500 084506 8690.0 8698.0 8690.0 8697.0 8697.0 8697.0 0
084500 084506 8690.0 8698.0 8690.0 8697.0 8697.0 8697.0 0
084500 084506 8690.0 8698.0 8690.0 8697.0 8697.0 8697.0 0
084500 084506 8690.0 8698.0 8690.0 8697.0 8697.0 8697.0 0
084500 084506 8690.0 8698.0 8690.0 8697.0 8697.0 8697.0 0
084500 084506 8690.0 8698.0 8690.0 8697.0 8697.0 8697.0 0
084500 084506 8690.0 8698.0 8690.0 8698.0 8697.462052335904 8696.628856755004 0
084500 084506 8690.0 8698.0 8690.0 8698.0 8697.665868665486 8696.515949516333 0
084500 084506 8690.0 8698.0 8690.0 8698.0 8697.822712221388 8696.45001505134 0
084500 084506 8690.0 8698.0 8690.0 8698.0 8697.953207397657 8696.410428965979 0
084500 084506 8690.0 8698.0 8690.0 8698.0 8698.06541313248 8696.389132322063 0
084500 084506 8690.0 8698.0 8690.0 8698.0 8698.163450815558 8696.382003729897 0
084500 084506 8690.0 8699.0 8690.0 8699.0 8698.499090545163 8696.228182182109 0
084500 084506 8690.0 8699.0 8690.0 8699.0 8698.76565500926 8696.143435899832 0
084500 084506 8690.0 8699.0 8690.0 8699.0 8698.988591624216 8696.102317466692 0
084500 084506 8690.0 8699.0 8690.0 8699.0 8699.179142068044 8696.093585204684 0
084500 084508 8690.0 8699.0 8690.0 8694.0 8699.653221687697 8695.346778312303 0
